LogName,Date,Time,ComputerName,SourceName,TaskCategory,EventType,Keywords,OpCode,EventCode,Type,RecordNumber,Message
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Process Creation,0,Audit Success,Info,4688,0,182305,A new process has been created.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182306,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182307,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182308,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182309,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Connection,0,Audit Failure,Info,5157,0,182310,The Windows Filtering Platform has blocked a connection.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182311,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182312,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182313,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182314,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182315,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,182316,The Windows Filtering Platform has blocked a packet.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Process Creation,0,Audit Success,Info,4688,0,182317,A new process has been created.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,Process Creation,0,Audit Success,Info,4688,0,182322,A new process has been created.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,File System,0,Audit Success,Info,4658,0,182324,The handle to an object was closed.
Security,2023-08-26,17:20:24,CLIENT-PC,Microsoft Windows security auditing.,File System,0,Audit Success,Info,4658,0,182328,The handle to an object was closed.
